종목명,현재가,전일비,등락률,NAV,3개월수익률,거래량,거래대금(백만)
ACE 중국과창판STAR50,"7,490",30,-0.40%,"7,614",-2.27%,"23,831",180
TIGER 200커뮤니케이션서비스,"22,230",55,+0.25%,"22,237",+19.37%,478,10
ACE Fn5G플러스,"10,965",85,+0.78%,"10,952",+29.28%,"1,925",21
RISE 일본섹터TOP4Plus,"10,105",0,0.00%,"10,131",+1.20%,934,9
ACE 싱가포르리츠,"13,125",90,+0.69%,"13,026",+6.30%,"1,623",21
KODEX 국채선물10년인버스,"54,405",105,-0.19%,"54,383",+3.11%,1,0
RISE 미국장기국채선물레버리지(..,"5,435",50,+0.93%,"5,435",-2.97%,"2,630",14
PLUS 글로벌MSCI(합성 H),"21,535",180,+0.84%,"21,485",+15.25%,896,19
KIWOOM 차이나A50커넥트MSCI,"9,820",75,-0.76%,"10,010",+8.96%,"1,436",14
PLUS 미국달러SOFR금리액티브(합..,"57,880",35,-0.06%,"57,735",-1.05%,36,2
ACE 중국본토CSI300레버리지(합..,"3,175",20,+0.63%,"3,235",+12.68%,"20,387",64
KODEX 밸류Plus,"10,540",5,-0.05%,"10,518",+30.28%,"4,368",45
KODEX 최소변동성,"12,590",130,-1.02%,"12,634",+28.47%,107,1
SOL 한국형글로벌전기차&2차전지..,"12,455",15,+0.12%,"12,549",+25.66%,"4,283",53
KoAct 미국뇌질환치료제액티브,"8,845",0,0.00%,"8,778",+3.63%,"1,106",9
KIWOOM 엔비디아미국30년국채혼..,"10,285",30,+0.29%,"10,331",+10.00%,"3,670",37
KIWOOM 글로벌전력GRID인프라,"12,250",30,+0.25%,"12,195",+26.47%,"6,045",74
KIWOOM 의료AI,"10,155",125,-1.22%,"10,184",+7.99%,"15,440",156
KODEX 미국30년국채울트라선물인..,"12,170",40,-0.33%,"12,168",+1.92%,729,8
KODEX 경기소비재,"10,110",20,+0.20%,"10,110",+25.83%,"3,367",33
RISE 미국달러선물인버스,"9,370",0,0.00%,"9,413",+1.79%,"1,099",10
RISE 수출주,"14,935",215,+1.46%,"14,959",+31.00%,87,1
ACE 일본TOPIX인버스(합성 H),"2,270",0,0.00%,"2,275",-9.92%,"38,887",88
ACE Fn성장소비주도주,"7,340",20,+0.27%,"7,361",+21.07%,"1,652",12
SOL 유럽탄소배출권선물인버스IC..,"11,670",50,+0.43%,"11,684",-8.25%,57,0
HANARO 농업융복합산업,"10,580",130,+1.24%,"10,551",+17.85%,966,10
HANARO Fn K-메타버스MZ,"7,755",60,+0.78%,"7,743",+14.32%,158,1
KODEX 한중전기차(합성),"8,745",190,+2.22%,"8,749",+11.61%,438,3
RISE 국채선물3년,"55,530",40,-0.07%,"55,577",+0.24%,7,0
RISE 미국장기국채선물인버스(H),"11,255",55,-0.49%,"11,268",+2.12%,21,0
RISE 글로벌농업경제,"9,360",5,+0.05%,"9,371",+7.96%,"3,434",32
SOL 미국테크TOP10인버스(합성),"6,985",0,0.00%,"7,028",-23.70%,28,0
UNICORN R&D 액티브,"13,930",105,+0.76%,"13,895",+22.83%,46,0
PLUS 코스닥150,"13,865",20,-0.14%,"13,939",+16.83%,537,7
ACE 필리핀MSCI(합성),"13,750",65,+0.47%,"13,751",+1.41%,194,2
KODEX 콩선물(H),"10,975",30,-0.27%,"10,985",+1.15%,"4,709",51
TIGER 라틴35,"4,565",85,-1.83%,"4,560",+8.21%,"8,717",39
TIGER 코스닥글로벌,"13,650",35,-0.26%,"13,707",+22.46%,829,11
HANARO 글로벌탄소배출권선물ICE..,"9,860",100,-1.00%,"9,851",+5.01%,660,6
PLUS ESG가치주액티브,"9,845",10,+0.10%,"9,838",+25.37%,"11,638",114
1Q 미국배당TOP30,"8,970",80,-0.88%,"8,954",+1.93%,"9,184",82
RISE 국채선물5년추종,"52,050",40,-0.08%,"52,122",-0.40%,4,0
TIGER 200 철강소재,"12,990",350,+2.77%,"12,983",+50.17%,"26,080",335
KODEX MSCI EM선물(H),"9,375",20,+0.21%,"9,378",+18.94%,267,2
KIWOOM 미국방어배당성장나스닥,"14,995",15,+0.10%,"15,000",-1.50%,360,5
KODEX 멀티에셋하이인컴(H),"10,155",20,+0.20%,"10,101",+4.16%,317,3
PLUS 신흥국MSCI인버스(합성 H),"9,750",0,0.00%,"9,607",-12.48%,0,0
TIGER 200 경기소비재,"17,890",60,-0.33%,"17,884",+21.02%,"1,035",18
HANARO Fn골프테마,"8,765",65,+0.75%,"8,775",+48.77%,"2,279",19
PLUS 심천차이넥스트(합성),"9,630",15,+0.16%,"9,776",+17.33%,36,0
BNK 2차전지양극재,"4,800",125,+2.67%,"4,788",+10.78%,"32,816",156
HANARO 반도체핵심공정주도주,"6,365",50,-0.78%,"6,365",+10.87%,"28,285",179
RISE 글로벌비만산업TOP2+,"8,670",5,+0.06%,"8,652",-0.52%,"5,692",49
ACE 글로벌메타버스테크액티브,"15,890",40,+0.25%,"15,879",+43.18%,581,9
KODEX 퀄리티Plus,"9,485",10,-0.11%,"9,486",+14.45%,214,2
BNK 온디바이스AI,"8,555",5,-0.06%,"8,593",+24.78%,"4,040",34
TIMEFOLIO 글로벌안티에이징바이..,"8,470",50,-0.59%,"8,399",+4.99%,"4,007",33
TIGER 코스피중형주,"18,280",125,+0.69%,"18,212",+29.22%,"1,279",23
RISE 팔라듐선물(H),"6,425",120,-1.83%,"6,420",+35.51%,"20,820",132
HANARO KAP초장기국고채,"40,810",70,-0.17%,"40,839",-3.50%,56,2
TIGER 의료기기,"17,440",10,-0.06%,"17,454",+14.37%,"3,705",64
PLUS 글로벌희토류&전략자원생산..,"5,095",135,+2.72%,"5,022",+29.50%,"145,994",737
TIGER 200에너지화학레버리지,"5,760",200,+3.60%,"5,752",+91.07%,"34,555",197
FOCUS KRX300,"21,050",135,+0.65%,"21,058",+30.33%,151,3
HANARO 200선물레버리지1.5X,"17,025",180,+1.07%,"17,037",+50.74%,36,0
KIWOOM 차이나내수소비TOP CSI,"9,070",15,+0.17%,"9,070",+1.29%,"2,453",22
KIWOOM 200선물인버스2X,"1,311",16,-1.21%,"1,305",-42.92%,"164,236",215
HANARO 코스닥150선물레버리지1...,"13,490",10,+0.07%,"13,502",+25.34%,98,1
SOL 차이나강소기업CSI500(합성 ..,"4,995",35,+0.71%,"5,017",+13.24%,"1,290",6
KoAct 테크핵심소재공급망액티브,"7,215",120,+1.69%,"7,235",+16.89%,"13,304",95
SOL 차이나태양광CSI(합성),"3,955",80,+2.06%,"3,964",+8.70%,"3,017",11
PLUS 중형주저변동50,"15,690",130,-0.82%,"15,684",+29.86%,387,6
RISE 차이나H선물인버스(H),"7,765",100,-1.27%,"7,756",-11.83%,279,2
KCGI 테크미디어텔레콤액티브,"9,655",65,+0.68%,"9,684",+19.73%,261,2
PLUS 200선물인버스2X,"2,660",40,-1.48%,"2,657",-42.86%,"15,293",40
UNICORN 포스트IPO액티브,"8,435",5,+0.06%,"8,494",+28.02%,"1,307",11
PLUS 스마트베타Quality채권혼합,"11,905",30,-0.25%,"11,900",+9.04%,"1,274",15
RISE 200선물인버스,"4,450",30,-0.67%,"4,451",-23.87%,614,2
KODEX 골드선물인버스(H),"4,450",75,-1.66%,"4,465",-0.44%,"16,447",73
KIWOOM 코스닥150선물인버스,"6,020",10,+0.17%,"6,023",-14.57%,"4,698",28
KIWOOM 미국블록버스터바이오테..,"9,205",100,-1.07%,"9,179",+2.30%,"5,197",47
TIGER 200 산업재,"9,895",100,+1.02%,"9,869",+21.51%,"6,055",59
KIWOOM K-반도체북미공급망,"9,045",35,+0.39%,"9,036",+22.50%,"2,955",26
KIWOOM 미국ETF산업STOXX,"15,675",110,+0.71%,"15,613",+12.42%,451,7
TIGER 코스닥150IT,"13,625",30,-0.22%,"13,658",+17.21%,149,2
PLUS TDF2050액티브,"14,730",15,+0.10%,"14,675",+12.76%,278,4
TIGER 방송통신,"8,555",35,-0.41%,"8,566",+15.97%,"7,640",65
HANARO 200선물인버스,"8,050",55,-0.68%,"8,042",-23.86%,93,0
HANARO 코스닥150선물레버리지,"9,320",20,-0.21%,"9,300",+34.39%,"1,010",9
PLUS TDF2040액티브,"13,150",20,-0.15%,"13,199",+4.52%,141,1
KIWOOM 코스닥150선물레버리지,"4,635",5,-0.11%,"4,618",+34.10%,"25,190",116
KIWOOM 200선물인버스,"4,490",35,-0.77%,"4,491",-24.01%,"3,049",13
KCGI 스마트커머스액티브,"10,130",15,-0.15%,"10,151",+17.97%,351,3
TIGER 금속선물(H),"5,935",235,+4.12%,"5,944",+3.92%,"17,960",105
ACE 미국빅테크TOP7 Plus인버스(..,"9,125",35,-0.38%,"9,129",-23.73%,446,4
TIGER 200동일가중,"15,080",45,+0.30%,"15,101",+33.18%,15,0
UNICORN 생성형AI강소기업액티브,"9,015",55,-0.61%,"8,993",+28.56%,"1,982",17
ACE 인버스,"4,325",40,-0.92%,"4,333",-23.76%,"10,538",45
RISE 팔라듐선물인버스(H),"4,275",75,+1.79%,"4,318",-27.34%,"5,100",21
RISE 코스닥150선물인버스,"3,385",0,0.00%,"3,394",-14.74%,"6,068",20
TIGER BBIG레버리지,"2,420",45,+1.89%,"2,421",+43.77%,"45,832",110
PLUS 코스닥150선물인버스,"5,105",30,-0.58%,"5,138",-14.63%,41,0
